id,name,courseMeta,courseInfo,name_lower,matched_subskills,matched_subskills_str
14,Belajar Fundamental Aplikasi Android,"['140 Jam', '4,84', 'Menengah']","['107 Modul', '41.831 Siswa Terdaftar']",belajar fundamental aplikasi android,[],
32,Belajar Membangun LINE Chatbot,"['20 Jam', '4,89', 'Pemula']","['26 Modul', '15.478 Siswa Terdaftar']",belajar membangun line chatbot,[],
51,Belajar Membuat Aplikasi Android untuk Pemula,"['60 Jam', '4,87', 'Pemula']","['49 Modul', '116.344 Siswa Terdaftar']",belajar membuat aplikasi android untuk pemula,[],
60,Memulai Pemrograman Dengan Java,"['15 Jam', '4,86', 'Dasar']","['42 Modul', '80.316 Siswa Terdaftar']",memulai pemrograman dengan java,['ML Foundation & AI Concepts'],ML Foundation & AI Concepts
80,Memulai Pemrograman dengan Kotlin,"['50 Jam', '4,84', 'Dasar - Pemula']","['132 Modul', '59.512 Siswa Terdaftar']",memulai pemrograman dengan kotlin,['ML Foundation & AI Concepts'],ML Foundation & AI Concepts
86,Memulai Pemrograman dengan Python,"['35 Jam', '4,80', 'Dasar']","['91 Modul', '114.158 Siswa Terdaftar']",memulai pemrograman dengan python,['ML Foundation & AI Concepts'],ML Foundation & AI Concepts
120,Memulai Pemrograman Dengan C,"['15 Jam', '4,85', 'Dasar']","['48 Modul', '50.060 Siswa Terdaftar']",memulai pemrograman dengan c,['ML Foundation & AI Concepts'],ML Foundation & AI Concepts
123,Belajar Dasar Pemrograman Web,"['45 Jam', '4,87', 'Dasar - Pemula']","['131 Modul', '179.110 Siswa Terdaftar']",belajar dasar pemrograman web,[],
133,Menjadi Google Cloud Engineer,"['42 Jam', '4,87', 'Menengah']","['85 Modul', '8.729 Siswa Terdaftar']",menjadi google cloud engineer,[],
145,Memulai Pemrograman Dengan Swift,"['40 Jam', '4,84', 'Dasar']","['95 Modul', '8.113 Siswa Terdaftar']",memulai pemrograman dengan swift,['ML Foundation & AI Concepts'],ML Foundation & AI Concepts
153,Belajar Membangun LINE Front-end Framework (LIFF),"['15 Jam', '4,93', 'Pemula']","['28 Modul', '5.950 Siswa Terdaftar']",belajar membangun line front-end framework (liff),[],
159,Belajar Membuat Aplikasi Flutter untuk Pemula,"['40 Jam', '4,87', 'Pemula']","['51 Modul', '21.259 Siswa Terdaftar']",belajar membuat aplikasi flutter untuk pemula,[],
163,Belajar Fundamental Front-End Web Development,"['80 Jam', '4,88', 'Pemula - Menengah']","['114 Modul', '28.336 Siswa Terdaftar']",belajar fundamental front-end web development,[],
165,Menjadi Android Developer Expert,"['90 Jam', '4,80', 'Profesional']","['87 Modul', '5.737 Siswa Terdaftar']",menjadi android developer expert,[],
169,Belajar Prinsip Pemrograman SOLID,"['15 Jam', '4,87', 'Menengah']","['41 Modul', '40.888 Siswa Terdaftar']",belajar prinsip pemrograman solid,[],
171,Belajar Membuat Aplikasi iOS untuk Pemula,"['40 Jam', '4,84', 'Pemula']","['74 Modul', '3.492 Siswa Terdaftar']",belajar membuat aplikasi ios untuk pemula,[],
177,Belajar Dasar Visualisasi Data,"['16 Jam', '4,85', 'Dasar']","['50 Modul', '91.590 Siswa Terdaftar']",belajar dasar visualisasi data,[],
